 Sigla , Data de abertura , SHOPPING/STREET , Salão de Vendas - m² , Cidade , Local , Estado , Região 
 VSO ,27/11/2012, SHOPPING MALL , 999 , VILA VELHA , BOULERVAD SHOPP. VILA VELHA , ES , Sudeste 
 CPP ,29/11/2012, SHOPPING MALL , 2.110 , RIO DE JANEIRO , PARK SHOPPING CAMPO GRANDE , RJ , Sudeste 
 LOR ,1/12/2012, SHOPPING MALL , 1.112 , LONDRINA , NORTE SHOPPING LONDRINA , PR , Sul 
 NSO ,2/5/2013, SHOPPING MALL , 1.012 , NOSSA SRA SOCORRO , SHOPPING PRÊMIO , SE , Nordeste 
 MBA ,7/5/2013, SHOPPING MALL , 2.020 , MARABÁ , SHOPPING PÁTIO MARABÁ , PA , Norte 
 BET ,10/7/2013, SHOPPING MALL , 2.201 , BETIM , METROPOLITAN GARDEN SHOPP. , MG , Sudeste 
 AMP ,30/7/2013, SHOPPING MALL , 1.308 , MACAPA , SHOPPING AMAPÁ GARDEN , AP , Norte 
 ARP ,25/9/2013, STREET , 1.052 , ARAPIRACA , SHOP PÁT. ARAPIRACA GARDEN , AL , Nordeste 
 SIS ,22/10/2013, SHOPPING MALL , 1.067 , ITAPECERICA DA SERRA , SHOPPING ITAPECERICA , SP , Sudeste 
 SUC ,24/10/2013, SHOPPING MALL , 1.543 , RIO DE JANEIRO , PARQUE SHOPPING SULACAP , RJ , Sudeste 
 MCS ,7/11/2013, SHOPPING MALL , 1.799 , MACEIO , SHOPPING MACEIÓ , AL , Nordeste 
 FNP ,12/11/2013, SHOPPING MALL , 1.529 , FORTALEZA , NORTH SHOPPING JÓQUEI , CE , Nordeste 
 GPA ,12/11/2013, SHOPPING MALL , 2.120 , GOIANIA , SHOPPING PASSEIO DAS ÁGUAS , GO , Centro oeste 
 CEJ ,16/11/2013, SHOPPING MALL , 2.127 , CEILANDIA , SHOPPING JK CEILÂNDIA , DF , Centro oeste 
 SOC ,21/11/2013, SHOPPING MALL , 996 , SOROCABA , SHOPPING PÁTIO CIANÊ , SP , Sudeste 
 IPM ,22/11/2013, STREET , 980 , RIO DE JANEIRO , IPANEMA , RJ , Sudeste 
 FOP ,26/11/2013, SHOPPING MALL , 2.199 , FORTALEZA , SHOPPING PARANGABA , CE , Nordeste 
 SHC ,26/11/2013, SHOPPING MALL , 2.198 , CONTAGEM , SHOPPING CONTAGEM , MG , Sudeste 
 VMS ,27/11/2013, SHOPPING MALL , 1.000 , SERRA , SHOPPING MONT SERRAT , ES , Sudeste 
 VAP ,3/12/2013, SHOPPING MALL , 2.172 , VALPARAÍSO , SHOPPING SUL , GO , Centro oeste 
 MGA ,3/12/2013, SHOPPING MALL , 1.646 , MARINGA , MARINGÁ PARK SHOPPING , PR , Sul 
 TTE ,17/12/2013, SHOPPING MALL , 2.226 , SÃO PAULO , SHOPPING TIETÊ PLAZA , SP , Sudeste 
 VCA ,6/5/2014, SHOPPING MALL , 1.559 , CARIACICA , SHOPPING MOXUARA , ES , Sudeste 
 UBC ,6/5/2014, STREET , 2.267 , UBERLANDIA , UBERLÂNDIA CENTRO , MG , Sudeste 
 SLS ,6/5/2014, SHOPPING MALL , 2.162 , SÃO LUIS , SÃO LUIS SHOPPING , MA , Nordeste 
 VVE ,25/8/2014, SHOPPING MALL , 2.202 , VILA VELHA , SHOPPING VILA VELHA , ES , Sudeste 
 FOR ,29/10/2014, SHOPPING MALL , 2.304 , FORTALEZA , RIO MAR SHOPPING FORTALEZA , CE , Nordeste 
 AMM ,30/10/2014, SHOPPING MALL , 1.030 , MACAPA , MACAPÁ SHOPPING CENTER , AP , Norte 
 TET ,30/10/2014, SHOPPING MALL , 2.130 , TERESINA , TERESINA SHOPPING , PI , Nordeste 
 RBS ,6/11/2014, SHOPPING MALL , 2.050 , RIO BRANCO , SHOPPING VIA VERDE , AC , Norte 
 IGA ,13/11/2014, SHOPPING MALL , 841 , BARUERI , SHOPPNG IGUATEMI ALPHAVILLE , SP , Sudeste 
 RVE ,20/11/2014, SHOPPING MALL , 1.002 , RIO VERDE , BURITI SHOPPING RIO VERDE , GO , Centro oeste 
 ANS ,21/11/2014, SHOPPING MALL , 1.118 , ANÁPOLIS , ANA SHOPPING , GO , Centro oeste 
 BVA ,25/11/2014, SHOPPING MALL , 2.149 , BOA VISTA , PÁTIO RORAIMA SHOPPING , RR , Norte 
 CGC ,27/11/2014, STREET , 2.176 , CAMPO GRANDE , CAMPO GRANDE CENTRO , MS , Centro oeste 
 JPS ,29/11/2014, SHOPPING MALL , 2.159 , JOÃO PESSOA , MANGABEIRA SHOPPING , PB , Nordeste 
 MNU ,2/12/2014, SHOPPING MALL , 1.095 , MARACANAU , NORTH SHOPPING MARACANAÚ , CE , Nordeste 
 MAT ,4/12/2014, SHOPPING MALL , 2.084 , MANAUS , SUMAÚMA PARK SHOPPING , AM , Norte 
 MAV ,11/12/2014, SHOPPING MALL , 2.209 , MANAUS , SHOPPING VIA NORTE MANAUS , AM , Norte 
 STR ,11/12/2014, SHOPPING MALL , 2.092 , SANTARÉM , RIO TAPAJÓS SHOPPING , PA , Norte 
 AME ,11/12/2014, SHOPPING MALL , 1.777 , RIO DE JANEIRO , AMERICAS SHOPPING , RJ , Sudeste 
 RIB ,18/3/2015, SHOPPING MALL , 2.255 , SAO JOSÉ DO RIBAMAR , SHOPPING PÁTIO NORTE , MA , Nordeste 
 GPM ,16/4/2015, SHOPPING MALL , 1.026 , GUARULHOS , PARQUE SHOPPING MAIA , SP , Sudeste 
 NIR ,5/5/2015, STREET , 2.134 , NOVA IGUAÇU , NOVA IGUAÇU , RJ , Sudeste 
 FOA ,2/6/2015, SHOPPING MALL , 956 , FORTALEZA , SHOPPING ALDEOTA , CE , Nordeste 
 CAP ,25/6/2015, SHOPPING MALL , 978 , CAMPINAS , CAMPINAS SHOPPING , SP , Sudeste 
 PLS ,30/6/2015, SHOPPING MALL , 1.975 , PALMAS , SHOPPING CAPIM DOURADO , TO , Norte 
 LEB ,16/7/2015, STREET , 589 , RIO DE JANEIRO , LEBLON , RJ , Sudeste 
 BEG ,27/8/2015, SHOPPING MALL , 2.281 , BELEM , SHOPPING GRÃO PARÁ , PA , Norte 
 IPT ,24/9/2015, SHOPPING MALL , 2.153 , IPATINGA , SHOPPING DO VALE DO AÇO , MG , Sudeste 
 AGT ,24/9/2015, STREET , 1.393 , SÃO PAULO , AUGUSTA , SP , Sudeste 
 TER ,29/9/2015, SHOPPING MALL , 2.373 , TERESINA , SHOPPING RIO POTY , PI , Nordeste 
 NPA ,30/10/2015, SHOPPING MALL , 2.049 , PAULISTA , SHOPPING NORTH WAY PAULISTA , PE , Nordeste 
 UBL ,3/11/2015, SHOPPING MALL , 998 , UBERLANDIA , UBERLÂNDIA SHOPPING , MG , Sudeste 
 NIS ,28/4/2016, SHOPPING MALL , 2.185 , NOVA IGUAÇU , SHOPPING NOVA IGUAÇU , RJ , Sudeste 
 SCT ,21/5/2016, SHOPPING MALL , 2.178 , SÃO PAULO , SHOPPING CANTAREIRA , SP , Sudeste 
 JPI ,1/6/2018, STREET , 1.976 , SÃO JOSÉ DOS PINHAIS , SÃO JOSÉ DOS PINHAIS , SP , Sudeste 
 CBA ,1/10/2018, SHOPPING MALL , 2.061 , CUIABÁ , SHOPPING ESTAÇÃO CUIABÁ , MT , Centro oeste 
 OLI ,1/10/2018, SHOPPING MALL , 1.854 , OLINDA , SHOPPING PATTEO OLINDA , PE , Nordeste 
 CPI ,1/10/2018, SHOPPING MALL , 2.099 , CAMPINA GRANDE , PARTAGE CAMPINA GRANDE , PB , Nordeste 
 CMC ,25/4/2019, SHOPPING MALL , 1.994 , CAMAÇARI , BOULEVARD SHOPPING CAMAÇARI , BA , Nordeste 
 CAM ,25/4/2019, SHOPPING MALL , 2.234 , CAMARAGIBE , CAMARÁ SHOPPING , PE , Nordeste 
 AND ,25/4/2019, SHOPPING MALL , 2.177 , ANANINDEUA , SHOPPING METRÓPOLE ANANINDEUA , PA , Norte 
 CBJ ,5/6/2019, SHOPPING MALL , 2.013 , CURITIBA , JOCKEY PLAZA SHOPPING , PR , Sul 
 ACP ,19/9/2019, SHOPPING MALL , 1.397 , ARAÇATUBA , SHOPPING PRAÇA NOVA , SP , Sudeste 
 BLS ,26/9/2019, SHOPPING MALL , 1.740 , BLUMENAU , SHOPPING PARK EUROPEU , SC , Sul 
 MAG ,1/10/2019, SHOPPING MALL , 2.191 , MANAUS , SHOPPING GRANDE CIRCULAR , AM , Norte 
 FRM ,3/10/2019, SHOPPING MALL , 2.130 , FORTALEZA , SHOPPING MAR RIO KENNEDY , CE , Nordeste 
 AJP ,26/11/2019, SHOPPING MALL , 1.854 , ARACAJU , ARACAJU PARQUE SHOPPING , SE , Nordeste 
 CFP ,5/12/2019, SHOPPING MALL , 1.751 , CABO FRIO , SHOPPING PARK LAGOS , RJ , Sudeste 
 SPB ,17/3/2020, SHOPPING MALL , 2.130 , LAURO DE FREITAS , PARQUE SHOPPING DA BAHIA , BA ,Nordeste
 PSP ,25/6/2020, SHOPPING MALL , 1.736 , CARAPICUÍBA , PLAZA SHOPPING CARAPICUÍBA  , SP ,Sudeste
 SBG ,30/6/2020, SHOPPING MALL , 2.126 , SÃO BERNARDO DO CAMPO , GOLDEN SQUARE SHOPPING  , SP ,Sudeste
 SGC ,14/7/2020, SHOPPING MALL , 1.865 , SÃO LUIS , GOLDEN SHOPPING CALHAU , MA , Nordeste 
 SCL ,6/10/2020, SHOPPING MALL , 1.313 , SALVADOR , SHOPPING CENTER LAPA , BA , Nordeste 
 ACS ,10/10/2020, SHOPPING MALL , 1.762 , BRASILIA , ÁGUAS CLARAS SHOPPING , DF , Centro oeste 
 PRG ,5/11/2020, SHOPPING MALL , 1.694 , RIO GRANDE , PARTAGE SHOPPING RIO GRANDE , RS , Sul 
 CRN ,12/11/2020, SHOPPING MALL , 1.319 , CRICÚMA , NAÇÕES SHOPPING , SC , Sul 
 NPM ,17/11/2020, SHOPPING MALL , 1.783 , MOSSORÓ , PARTAGE SHOPPING MOSSORÓ , RN , Nordeste 
 ANF ,19/11/2020, SHOPPING MALL , 1.417 , SÃO PAULO , SHOPPING ANÁLIA FRANCO , SP , Sudeste 
