 Sigla , Data de abertura , SHOPPING/STREET , Salão de Vendas - m² , Cidade , Local , Estado , Região 
 PSA ,15/4/1998, SHOPPING MALL , 1.998 , SANTO ANDRE , ABC PLAZA SHOPPING , SP , Sudeste 
 AJU ,16/4/1998, SHOPPING MALL , 1.844 , ARACAJU , SHOPPING JARDINS , SE , Nordeste 
 GRU ,12/11/1998, SHOPPING MALL , 1.979 , GUARULHOS , SHOPPING INTERNACIONAL , SP , Sudeste 
 CEN ,30/9/1999, SHOPPING MALL , 1.655 , SÃO PAULO , CENTRAL PLAZA SHOPPING , SP , Sudeste 
 GOI ,26/4/2000, SHOPPING MALL , 1.993 , GOIANIA , GOIANIA SHOPPING , GO , Centro oeste 
 SLZ ,27/4/2000, STREET , 2.694 , SÃO LUIS , SAO LUIZ , MA , Nordeste 
 FEI ,5/10/2000, SHOPPING MALL , 2.040 , FEIRA DE SANTANA , SHOPP. IGUAT. FEIRA DE SANT , BA , Nordeste 
 CBM ,26/10/2000, SHOPPING MALL , 1.221 , CURITIBA , SHOPPING MULLER , PR , Sul 
 TAS ,16/11/2000, SHOPPING MALL , 1.828 , BRASILIA , SHOPPING TAGUATINGA , DF , Centro oeste 
 CPO ,17/11/2000, SHOPPING MALL , 1.819 , RIO DE JANEIRO , SHOPP. PASSEIO CAMPO GRANDE , RJ , Sudeste 
 MAS ,23/11/2000, SHOPPING MALL , 2.178 , MANAUS , AMAZONAS SHOPPING , AM , Norte 
 CAR ,8/5/2001, SHOPPING MALL , 1.726 , RIO DE JANEIRO , SHOPPING CARIOCA , RJ , Sudeste 
 REG ,8/11/2001, SHOPPING MALL , 2.365 , JABOATÃO DOS GUARARAPES , SHOPPING GUARARAPES , PE , Nordeste 
 MAC ,13/12/2001, STREET , 3.306 , MANAUS , MANAUS , AM , Norte 
 CPK ,19/3/2002, SHOPPING MALL , 2.320 , CAMPINAS , SHOPPING PARQUE DOM PEDRO , SP , Sudeste 
 NOV ,21/3/2002, SHOPPING MALL , 2.306 , RIO DE JANEIRO , SHOPPING NOVA AMERICA , RJ , Sudeste 
 TAB ,10/7/2002, SHOPPING MALL , 2.311 , TABOA DA SERRA , SHOPPING TABOAO DA SERRA , SP , Sudeste 
 VPC ,29/10/2002, SHOPPING MALL , 2.048 , VILA VELHA , SHOPPING PRAIA DA COSTA , ES , Sudeste 
 MAU ,2/12/2002, SHOPPING MALL , 1.612 , MAUA , MAUA PLAZA SHOPPING , SP , Sudeste 
 JPM ,3/12/2002, SHOPPING MALL , 2.347 , MANAIRA , MANARIA SHOPPING , PB , Nordeste 
 VOL ,10/4/2003, SHOPPING MALL , 1.203 , VOLTA REDONDA , SIDER SHOPPING , RJ , Sudeste 
 CPW ,15/4/2003, SHOPPING MALL , 1.709 , RIO DE JANEIRO , WEST SHOPPING RIO , RJ , Sudeste 
 BHZ ,29/5/2003, STREET , 2.898 , BELO HORIZONTE , BELO HORIZONTE CENTRO - II , MG , Sudeste 
 REI ,5/6/2003, STREET , 2.241 , RECIFE , RECIFE IMPERATRIZ , PE , Nordeste 
 CGE ,10/7/2003, SHOPPING MALL , 2.171 , CAMPO GRANDE , SHOPPING CAMPO GRANDE , MS , Centro oeste 
 GUA ,31/7/2003, STREET , 2.044 , GUARULHOS , GUARULHOS CENTRO , SP , Sudeste 
 BEC ,25/9/2003, SHOPPING MALL , 3.219 , BELEM , SHOPPING CASTANHEIRA , PA , Norte 
 TBE ,1/11/2003, SHOPPING MALL , 2.180 , BARUERI , SHOPPING TAMBORE , SP , Sudeste 
 CBG ,6/11/2003, SHOPPING MALL , 2.387 , CURITIBA , PARK SHOPPING BARIGUI , PR , Sul 
 OSA ,15/11/2003, STREET , 1.945 , OSASCO , OSASCO CENTRO , SP , Sudeste 
 IPS ,30/11/2003, SHOPPING MALL , 1.974 , CONTAGEM , ITAU POWER SHOPPING , MG , Sudeste 
 SGS ,25/3/2004, SHOPPING MALL , 1.684 , SÃO GONÇALO , SAO GONCALO SHOPPING , RJ , Sudeste 
 RIO ,1/4/2004, SHOPPING MALL , 1.918 , SÃO JOAO DO MERITI , SHOPPING GRANDE RIO , RJ , Sudeste 
 GBU ,22/4/2004, SHOPPING MALL , 1.906 , APARECIDA DE GOIANIA , BURITI SHOPPING , GO , Centro oeste 
 BOA ,27/4/2004, SHOPPING MALL , 1.800 , SÃO PAULO , SHOPPING BOA VISTA , SP , Sudeste 
 PEN ,28/10/2004, SHOPPING MALL , 2.034 , SÃO PAULO , SHOPPING PENHA , SP , Sudeste 
 UBE ,18/11/2004, SHOPPING MALL , 1.718 , UBERLANDIA , CENTER SHOPPING , MG , Sudeste 
 FLI ,2/12/2004, SHOPPING MALL , 1.524 , SÃO JOSÉ , SHOPPING ITAGUAÇU , SC , Sul 
 RCR ,9/12/2004, SHOPPING MALL , 1.314 , RIO DE JANEIRO , SHOPPING RECREIO , RJ , Sudeste 
 NAM ,27/4/2005, SHOPPING MALL , 2.608 , NATAL , MIDWAY MALL , RN , Nordeste 
 SPI ,2/6/2005, SHOPPING MALL , 1.121 , PIRACICABA , SHOPPING PIRACICABA , SP , Sudeste 
 AJC ,9/6/2005, STREET , 2.512 , ARACAJU , ARACAJU CENTRO , SE , Nordeste 
 NAS ,14/7/2005, SHOPPING MALL , 1.752 , NATAL , NATAL SHOPPING , RN , Nordeste 
 FON ,4/8/2005, SHOPPING MALL , 1.564 , FORTALEZA , NORTH SHOPPING , CE , Nordeste 
 TAL ,27/10/2005, SHOPPING MALL , 1.509 , BRASILIA , SHOPPING ALAMEDA , DF , Centro oeste 
 PGS ,17/11/2005, SHOPPING MALL , 1.629 , PRAIA GRANDE , LITORAL SHOPPING , SP , Sudeste 
 SOR ,17/11/2005, SHOPPING MALL , 1.745 , SOROCABA , ESPLANADA SHOPP. SOROCABA , SP , Sudeste 
 LOS ,1/12/2005, SHOPPING MALL , 1.344 , LONDRINA , SHOPPING CATUAI , PR , Sul 
 CRS ,8/12/2005, SHOPPING MALL , 1.474 , CARUARU , SHOPPING CARUARU , PE , Nordeste 
 TEC ,9/12/2005, STREET , 2.475 , TERESINA , TERESINA CENTRO , PI , Nordeste 
 JSU ,27/4/2006, SHOPPING MALL , 990 , SÃO PAULO , SHOPPING JARDIM SUL , SP , Sudeste 
 MCC ,4/5/2006, STREET , 2.577 , MACEIO , MACEIO CENTRO , AL , Nordeste 
 BOT ,29/6/2006, STREET , 1.744 , RIO DE JANEIRO , BOTAFOGO , RJ , Sudeste 
 CPL ,6/7/2006, SHOPPING MALL , 1.671 , SÃO PAULO , SHOPPING CAMPO LIMPO , SP , Sudeste 
 TIV ,13/7/2006, SHOPPING MALL , 1.159 , SANTA BARBARA OESTE , SHOPPING TIVOLI , SP , Sudeste 
 FCA ,27/7/2006, SHOPPING MALL , 1.040 , FRANCA , FRANCA SHOPPING , SP , Sudeste 
 ITU ,10/8/2006, SHOPPING MALL , 1.017 , ITU , PLAZA SHOPPING ITU , SP , Sudeste 
 RNS ,5/10/2006, SHOPPING MALL , 1.474 , RIBEIRÃO PRETO , NOVO SHOPPING , SP , Sudeste 
 GOV ,5/10/2006, SHOPPING MALL , 1.092 , RIO DE JANEIRO , ILHA DO GOVERN. PLAZA SHOPP , RJ , Sudeste 
 TBT ,19/10/2006, SHOPPING MALL , 1.083 , TAUBATE , SHOPPING TAUBATÉ , SP , Sudeste 
 JFC ,26/10/2006, STREET , 1.898 , JUIZ DE FORA , JUIZ DE FORA , MG , Sudeste 
 SPM ,9/11/2006, SHOPPING MALL , 1.862 , SÃO PAULO , SHOPPING SP MARKET , SP , Sudeste 
 SLC ,23/11/2006, STREET , 1.962 , SÃO LUIS , SAO LUIS , MA , Nordeste 
 CPC ,7/12/2006, STREET , 1.801 , CAMPINA GRANDE , CAMPINA GRANDE , PB , Nordeste 
 SPE ,14/12/2006, SHOPPING MALL , 1.022 , SÃO PAULO , SHOPPING ELDORADO , SP , Sudeste 
 FLS ,8/2/2007, SHOPPING MALL , 1.510 , FLORIANÓPOLIS , FLORIPA SHOPPING , SC , Sul 
