Nome do objeto ; circunferência ; diâmetro
Saboneteira; 25.20 ; 8.00 
Caneca; 28; 7.7
portalapis;21.4;6.7
balde; 108.38; 34.5
copo; 18.5; 5.1
cilindro de formatura; 15;  4.5  
Panela de Pressão; 63; 21
Tampa de garrafa; 9.42; 3
Alcool em gel; 21.98 ;7
esparadrapo; 19.0; 5.4
rolo-de-durex;29;10
Prato;88 ; 28
desodorante; 14.1; 4.3
CaixaDeSom;24;7.7
Ventilador;48.1;15.3
Caneca; 26.8; 8
Vela; 5.2; 2.3
Tampa; 14.0; 4.4
Panela;71.2;22.5
Fôrma;83.5;27
caneca; 32.5; 10.35
inseticida automático (base); 21.05; 6.10
tigela; 40.0; 13.0
caneca;25.9;8.0
Lanterna;12.246;3.9
pandeiro; 80.4; 25.4
Vela; 23.1; 7.5
Tampa da garrafa térmica;29.2;9.6
tubo de cola; 9.5; 3.1
caneca; 26.69; 8.5
caixa de som; 28; 7.5
Copo; 20.0; 6.0
Saleiro; 16.7; 5.3
lixeirinha;38.9;12.2
xícara;22;7
panela; 86.9; 28.0
manteiga de cacau; 6.5; 2
Frasco de cosmético; 15.2; 4.8
Tampa garrafa Bonafont;9.4;2.6
lata;20.7;6.6
Garrafa de vinho; 23.5; 7.0
rosquinha do cachorro;26.0;8.0
caneca; 26.9; 8.9
Garrafa; 27.0; 9.0
tampa; 69.0; 21.7
caixa de som; 33; 10.5
copo;25.12;8
enfeite; 17.3; 5.5
Copo; 21.0; 6.0
Filtro de Barro São Jose; 72.9  ; 20  
Tampa; 35.4; 11.1
lata; 31.8; 10.1
Copo;26.3;8.4
Extintor; 43.0; 13.7
CervejaFaxe;28.5;8.4
Panela; 58.0; 19.0
medalha; 14.8; 4.4
pote; 29.0; 9.2
Garrafa; 7.5; 24.2
fita ; 27.5 ; 8.6
esmalte; 11.5; 3.4
desodorante;14.5;4.6
Panela;74;23
Tampa; 39.0; 12.5
Banco;73.3;28.0
caixinha de música; 30.0; 9.5
Frasco de Remédio;23.0;8.0
copo; 52.7; 8.4
Desodorante;12.7;4.1
vela; 16.0; 5.0
garrafa; 20.8; 6.9
Alexa;31.3;9.3
pote de vidro; 23.4; 6.5
vela; 16.5; 6.0
jarra; 35.5; 11.3
caixadesom;23;6.5
troféu; 34.6; 11
cesta de lixo;64.2;21.0
garrafa;18.8;6
Balde Mop; 60.2; 15.0
Copo;25.5;8.0
Relógio;15.5;5
Abajur; 64 ; 20.8 
pote; 19.5; 8
tampa de garrafa; 11; 2.5
Carregador sem fio Samsung; 28.3; 9.1
rolodepapelvazio; 15.3; 4.7
lupa;20;6.5
Esparadrapo;8.1;5.6
cola; 2.82 ; 0.25
Álcool e gel; 25.7; 7.5 
Pote de pimenta;13.3;4.3
Tampa de Óleo; 12; 4
Balde de plástico; 97.39 ;31
lata de milho; 23.5; 7.3
Bola de basquete; 150.72; 48.0
Forma; 72.0; 23.0
durex; 31.3; 9.6
caneca; 32.8; 10.0
Luminária; 32.5;10.51
Mesa;282.6;90
Vaso; 90.0; 28.5
fita; 26.5; 8.4
Lixeira;60.0;18.5
Boca de caneca; 22.2; 6.4
Delineador em gel; 12.6; 4.4 
Ring light;51;16
copo;20;6
Chaleira; 48.2; 13.0
pote de vidro; 31.3; 10.1
desodorante; 13.0; 4.0
Panela; 91.0; 19.0
lata 2 ; 34.5 ;11   
rolo de fita adesiva; 15.5; 4.9
Desodorante; 16.6 ; 5.2 
lata de lixo;60.0;19.0
tubo;40.2;12.2
Frasco de sabonete liquido; 23.5; 6.9
Copo; 21.3; 6.6
Prato; 62.80; 20
Lata de desodorante; 14.20 ; 4.50 
